,exch.binance.flow.in.ntv,exch.binance.flow.out.ntv,exch.bitfinex.flow.in.ntv,exch.bitfinex.flow.out.ntv,exch.bitstamp.flow.in.ntv,exch.bitstamp.flow.out.ntv,exch.bittrex.flow.in.ntv,exch.bittrex.flow.out.ntv,exch.gemini.flow.in.ntv,exch.gemini.flow.out.ntv,exch.huobi.flow.in.ntv,exch.huobi.flow.out.ntv,exch.kraken.flow.in.ntv,exch.kraken.flow.out.ntv,exch.poloniex.flow.in.ntv,exch.poloniex.flow.out.ntv,close,high,low,high-low,volume
538,1.9101450347135296,1.9575959541269685,0.030511718586726855,0.041556726448169094,0.09903380413783365,0.07184747905944755,0.12742767428502816,0.14563262909169788,0.07142272762924179,0.07307044081307519,0.0,0.0,0.014373463079919033,0.017333406591159884,0.02339737995472994,0.020561332988466425,799.17,830.2,713.75,116.45000000000005,16440000.000000002
539,1.5579743903542058,1.3976886827113264,0.03351682298584752,0.032969939021983696,0.05982878700568364,0.07760172582829405,0.12044417568295332,0.12933910432354534,0.03245179589850867,0.039895430889531874,0.0,0.0,0.011516354771486988,0.023440603936414107,0.013848773096272108,0.01814636219511917,789.39,840.55,759.65,80.89999999999998,14670000.0
540,1.2477815828705203,0.7190276136351683,0.06202190055646952,0.05843676770127915,0.09751419307268641,0.10092427524687062,0.13056979538656988,0.10795650349893689,0.09501570505095722,0.06719572436194884,0.0,0.0,0.011697602466401355,0.017395427511615453,0.024102661541885898,0.024140436706466352,657.83,794.16,490.28,303.88,11560000.0
541,0.5985081947620611,0.5453579251863488,0.01790614002794218,0.026133282892581836,0.047082019178846295,0.059087892248100966,0.07653714342739382,0.08962447186783677,0.024208896348712483,0.049338442124496264,0.0,0.0,0.007330069728059336,0.017045501373848523,0.009280808789416515,0.011043610061489934,700.44,747.53,651.1,96.42999999999995,11950000.0
542,0.43478529981721775,0.5575553636529588,0.020340761913132718,0.025424940957945504,0.03834317430448549,0.042483727845502514,0.07527283205706758,0.08855579940735597,0.047036672435365044,0.019268041046194187,0.0,0.0,0.004352423695420492,0.0061888098391628,0.01110739235483128,0.01622227363788752,675.91,701.07,597.12,103.95000000000005,14540000.0
543,0.5688719034823221,0.7730040385980003,0.022977736875002815,0.05110041115032312,0.046627033695750386,0.04032314150304406,0.08313006757986714,0.09991995310852153,0.016045774465903523,0.0293328076379065,0.0,0.0,0.006528220501035202,0.012563727658221144,0.014520929470407258,0.015995025011164683,723.14,747.36,671.71,75.64999999999998,13240000.0
544,0.6909697892779999,1.0117632418338918,0.02419905266647676,0.03398134285823498,0.02224064819614632,0.027981606638609352,0.11476196124777191,0.10392982392756404,0.01914845949111763,0.02825380531351875,0.0,0.0,0.006976177266323565,0.009869857350428243,0.00991707235126565,0.019570264663838936,753.48,840.14,731.1,109.03999999999996,11770000.0
545,1.01032864571971,1.4572839916498639,0.024358586625913097,0.027117945961422894,0.03016402161173511,0.0636974923214659,0.07096991036990931,0.07556543846063371,0.02923647179652169,0.03154868086628592,0.0,0.0,0.005357086649909776,0.01705803190704689,0.010174292956067976,0.00975833057819455,739.94,766.53,706.67,59.860000000000014,13020000.0
546,1.4276590593875327,1.2982903564208734,0.039423858620722424,0.03369371021356125,0.041913442302231915,0.05119596532106327,0.06913851757669454,0.07951507509975232,0.047581298936628345,0.04631346481634121,0.0,0.0,0.010504652875488412,0.014710211110966098,0.006618146254280594,0.010005996998829089,716.69,741.46,671.23,70.23000000000002,11270000.0
547,1.4959851175686023,1.4653893713040795,0.033899893611581036,0.02987197645688,0.03941919257749916,0.05202752912977696,0.10084332182335456,0.10058657732514202,0.0318318167768,0.040331820556232044,0.0,0.0,0.006924964890478671,0.01906098935576964,0.010412820343464985,0.014710380072236424,739.6,755.2,710.2,45.0,12630000.0
548,1.2272487530664904,0.6311853061722728,0.03988218891088209,0.0337040794438056,0.05912216118296422,0.05322063152600349,0.10410168918690381,0.07814824223055057,0.02584439136647822,0.02493948261094091,0.0,0.0,0.007145417193602784,0.011378775346319281,0.021402501724405956,0.013107773152020377,692.99,741.67,663.88,77.78999999999996,12540000.0
549,0.4380171726853126,0.5458193664107057,0.007920562693637409,0.016774343057793937,0.018263129715689035,0.0262967797345676,0.07142626177150206,0.0675498669267064,0.017606152330325583,0.016761952983499948,0.0,0.0,0.003696847833644706,0.004047410625970814,0.00758837512841738,0.013712514564367144,741.27,767.31,726.31,41.0,9820000.0
